발주예정,,,,,,,,,,,,
발주완료,,,,,,,,,,,,
발주취소,,,,,,,,공급업체,,,,
입고완료,,,,,,,,고은효,1.0,,,
결제완료,,,,,,,,김민석,2.0,,,
,품목,수량,단가,금액,,,,김재현,3.0,,,
,PCB,200,1670,334000,,,,나무,,,,1.0
,SMD,10,40100,401000,,,,대성프로파일,,,,
,수삽,,,0,,,,대현테크,4.0,,,
,자재,,,0,,,,드림온테크 유한회사,5.0,,,
,,,41770,735000,,,,디에스테크놀러지,6.0,,,
,,,,,,,,만능,,,,
,,80,41770,3341600,,,,메카전자,7.0,,,
,,,,,,,,미래로,8.0,,,
,,,,,,,,바이슨,9.0,,,
,Z:\1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\ZEUSCPU생산,,,,,,,박진호,10.0,,,
,,,,,,,,세일엔지니어링,11.0,,,
,,,,,,,,아이닉스,12.0,,,
,,,7561414,6874012.727272727,,,,아이리코,13.0,,,
,,,17643293,16039357.272727273,,,,앤츠,14.0,,,
,,,,22913370,,,,에쎈,15.0,,,
,,,,,,,,엔에스티정보통신,16.0,,,
,,,,,,,,우석케미칼,17.0,,,
,,,,,,,,위존,,,,
,,,,6874012.727272727,,,,유니퀘스트,18.0,,,
,,,,16039357.272727273,,,,유로,,,,
,,,,,,,,유에스케이,19.0,,,
,,,,,,,,이노웍스코리아,20.0,,,
,,,,,,,,이동진,21.0,,,
,,,,,,,,이송이엠씨,22.0,,,
,,0.3793806703490314,16197119,,,,,이엔엠테크놀러지,23.0,,,
,,0.6206193296509686,26496461,,,,,이예준,24.0,,,
,,8624.965656565657,42693580,,,,,이젠티에스,25.0,,,
,,,,,,,,이지파워,26.0,,,
,,,4950,,,,,일렉콤티에스,27.0,,,
,,,6637950,,,,,일성,28.0,,,
,,,1341,,,,,캐드존,29.0,,,
,,,,,,,,태신전자,30.0,,,
,,,,,,,,텍시트코리아,31.0,,,
,,,33521494,30474085.454545453,,,,티렉스아이앤씨,32.0,,,
,,,,24200,달러,,,티엠에스,33.0,,,
,,,,1259.2597295266717,환율,,,파이오닉스,34.0,,,
,,,,,,,,파츠맨,35.0,,,
,,,1259.25973,,,,,한톨브릿지,36.0,,,
,,,30474085.466,,,,,화인테크폴리머,37.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,6637950,,,,,,,,
,,,,4950,달러,,,,,,,
,,,,1341,환율,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1,1132230,,,,,,,,,
,,2,1450690,,,,,,,,,
,,3,116850,,,,,,,,,
,,4,210750,,,,,,,,,
,,5,4034125,,,,,,,,,
,,6,8960700,,,,,,,,,
,,합계,15905345,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,업체,,,,,,,,,,,
,메카전자,,,,,,,,,,,
,아이리코,,,,,,,,,,,
,일렉콤티에스,,,,,,,,,,,
,일성,,,,,,,,,,,
,캐드존,,,,,,,,,,,
,태신전자,,,,,,,,,,,
,파츠맨,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,아이리코,,,,
,,,,,,,,파츠맨,,,,
