,,,,,,,,,,,
,,,견적가,,,수주가,,,,,
,순,고객명,전체,AB등급,CD등급,전체,2024년,수주율(%),제조원가,손익(%),비고
,1,지아이씨,1446481819,1446481819,0,1446481819,1051246143.3000001,1,,,2025년 1월 31일 수정계약 (사급 금액 제외)
,2,김포골드라인,957811200,957811200,0,0,0,0,,,
,3,서울교통공사,209154910,209154910,0,1900000,1900000,0.009084175934478422,,,
,4,현대로템,11092600,11092600,0,0,0,0,,,
,5,실리콘큐브,46840000,46840000,0,46840000,46840000,1,,,
,6,무한테크,20350000,20350000,0,11400000,11400000,0.5601965601965602,,,
,7,다원시스,993145936,965178562,27967374,410000000,123000000,0.41282956022688694,,,
,8,티랩,482560000,0,482560000,0,0,0,,,
,9,마루소프트,20350000,20350000,0,0,0,0,,,
,10,신진금고,169299200,169299200,0,0,0,0,,,
,11,인터모빌리티,216099460,216099460,0,0,0,0,,,
,,합계,4573185125,4062657751,510527374,1916621819,1234386143.3000002,0.41909998537397936,,,
