홍콩 KTU 신역사 방송 소프트웨어 업데이트 Milestone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
진행내용,상세 업무내용,진행사항,담당,9월,,10월,,,,11월,,,,12월,,,
,,,,3주,4주,1주,2주,3주,4주,1주,2주,3주,4주,1주,2주,3주,4주
발주처 및 시행청 협의,"[0단계] MTR 요구사항 확인, 인터페이스 문서 확인",,,,,,,,,,,,,,,,
"홍콩 KTU
내부 SW
구현 완료",[1단계] Main Software DB update/Skip function and test,,,,,,,,,,,,,,,,
,[2단계] Main Software (PAD 관제통화 다자 연결) 기능 추가,,,,,,,,,,,,,,,,
,[3단계] Mtx Software mp3 update and test + skip test,,,,,,,,,,,,,,,,
,,프리렌서계약 (소프트웨어) 및 1차제출물,외주,,,,,,,,,,,,,,
,,최종종료일,,,,,,,,,,,,,,,
,[4단계] MOP (VOIP) Software update and test + skip test,,,,,,,,,,,,,,,,
,[5단계] MOP (VOIP) Software (PAD 관제통화 다자 연결) 기능추가,,,,,,,,,,,,,,,,
,[6단계] ETX (VOIP) Software update and test + skip test,,,,,,,,,,,,,,,,
,,프리렌서계약 (문서작성) 및 1차제출물,외주,,,,,,,,,,,,,,
현차 시험 / 디버깅 ,[7단계 1/2] 현차 디버깅 SW 지원,,,,,,,,,,,,,,,,
시행청 기능 확인 / ECP 승인,[7단계 1/2] 시행청 기능 확인 업무대응,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
