,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,PO,RFQ no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),청구 (예정) 금액,입금 총액,미수금,비고,대금지불조건,,
,1,다원시스,한국,DWE-2024-JUN-11-001,,2024-06-11 00:00:00,2025-03-31 00:00:00,1,서울 7호선 3차분 TCMS 개조,,81000000,81000000,0,81000000,81000000,0,"1. (2024년) 선급금 30% (81,000,000 KRW)
2. 초도편성 검사완료 시 30%
    (25년 9월 중 철도연구원 레포트 승인)
3. 초도 시운점검사 완료 시 30%
4. 양산편성 완료 시 10%",2025년 12월 4일 계약 해지 (잔여 수주금액 제외),프로젝트 포기 / 계약 해지 / 25년 수주금액 입금 완료,"250807 KRW 81,000,000 전자세금계산서
중도금 30% 발급"
,2,다원시스,한국,DWE-2024-AUG-29-001,,2024-08-29 00:00:00,2025-06-30 00:00:00,1,4호선 방송편집기 소프트웨어개발,,98000000,42000000,56000000,42000000,42000000,0,"1. (2024년) 선급금 30% (42,000,000 KRW)
2. 1차 산출물 제출 후 실행팀 확인 서명 완료본 제출 시 30% (250310 42,000,000 KRW 입금)
3. 발주처 승인 완료 시 40%",,"250305 KRW 42,000,000 전자세금계산서
중도금 30%",
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,179000000,123000000,56000000,123000000,123000000,0,,,,
