,,,,,,,,,,
,순,고객명,,전체수주가,2026년 수주가,2027년 수주가,입금 총액,2026년 잔금,미수금,비고
,1,지아이씨,,0,0,0,0,0,0,
,2,현대로템,,294790700,294790700,0,0,294790700,0,
,3,HST (튀르키예),,0,0,0,0,0,0,
,4,인터모빌리티,,18312700,18312700,0,0,18312700,0,
,5,GMTECH,,24632800,24632800,0,0,24632800,0,
,6,다원시스,,56000000,56000000,0,0,56000000,0,
,7,서울교통공사,,0,0,0,0,0,0,
,8-1,기타,김포골드라인,0,0,0,0,0,0,
,8-2,,고구려엔지니어링,0,0,0,0,0,0,
,8-3,,실리콘큐브,0,0,0,0,0,0,
,8-4,,무한테크,0,0,0,0,0,0,
,8-5,,티랩,0,0,0,0,0,0,
,8-6,,마루소프트,0,0,0,0,0,0,
,8-7,,신진금고,0,0,0,0,0,0,
,8-8,,위플랫,0,0,0,0,0,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,소계,,393736200,393736200,0,0,393736200,0,
